,running_time,number_of_cars,north_car,south_car,east_car,west_car,30 upper,50 upper,80 upper,100 upper,150 upper,option
0,621,272,93,82,50,47,181,140,84,32,0,SNL
1,4277,2459,758,786,454,461,1553,1157,551,183,5,NSM
2,4194,2461,757,771,494,439,1471,1055,428,129,1,NSM
3,4300,2547,777,801,493,476,1632,1207,599,233,8,NSM
4,4253,2558,789,767,504,498,1617,1229,637,260,24,NSM
5,4274,2518,775,801,473,469,1602,1187,497,156,6,NSM
6,4579,2582,807,830,480,465,1765,1455,942,630,173,NSM
7,4261,2507,776,803,458,470,1660,1264,557,195,7,NSM
8,4270,2538,778,805,460,495,1657,1309,726,383,48,NSM
9,4200,2566,790,786,497,493,1618,1216,582,196,8,NSM
10,4442,2642,840,790,512,500,1750,1384,731,365,60,NSM
11,4436,2575,773,845,482,475,1680,1284,649,251,11,NSM
12,4305,2577,792,808,499,478,1679,1276,658,299,35,NSM
13,4496,2581,473,504,802,802,1776,1465,937,667,194,EWM
14,4323,2557,461,471,803,822,1655,1257,594,253,35,EWM
15,4484,2571,442,476,850,803,1691,1322,747,409,113,EWM
16,4413,2583,504,487,796,796,1721,1383,744,395,76,EWM
17,4294,2557,531,453,802,771,1691,1314,628,263,20,EWM
18,4320,2592,505,477,809,801,1689,1288,643,295,41,EWM
19,4278,2538,483,482,775,798,1576,1197,558,251,30,EWM
20,4260,2517,489,488,749,791,1568,1208,603,242,19,EWM
21,4275,2575,500,450,812,813,1727,1306,635,271,27,EWM
22,4450,2639,508,506,823,802,1874,1568,1058,707,203,EWM
23,4929,2587,787,455,533,812,1965,1772,1400,1135,609,ENM
24,4835,2531,755,456,501,819,1958,1759,1416,1104,596,ENM
25,5116,2596,779,491,488,838,1963,1787,1458,1133,643,ENM
26,5008,2634,844,509,473,808,2035,1832,1478,1163,587,ENM
27,4998,2572,827,483,466,796,1947,1735,1384,1094,593,ENM
28,5325,3268,817,826,869,756,2751,2545,2173,1808,940,L
29,5084,3180,775,819,808,778,2749,2582,2222,1868,1075,L
30,5261,3224,852,758,799,815,2768,2554,2156,1744,960,L
31,5551,3255,806,851,777,821,2898,2759,2423,2066,1303,L
32,5112,3155,780,798,781,796,2819,2675,2381,1992,1341,L
33,5265,3285,812,840,828,805,2872,2700,2314,1919,1121,L
34,5219,3191,776,837,790,788,2703,2487,2088,1687,947,L
35,5211,3199,773,812,816,798,2833,2683,2368,1980,1252,L
36,5364,3265,818,815,811,821,2930,2763,2421,2026,1277,L
37,5045,3193,797,806,780,810,2797,2633,2284,1934,1065,L
38,5020,3074,721,789,763,801,2570,2357,1968,1568,856,L
39,4205,2550,624,671,608,647,1596,1277,754,424,87,M
40,4196,2549,662,610,633,644,1531,1132,552,241,17,M
41,4275,2525,617,657,633,618,1670,1360,872,579,199,M
42,4164,2521,679,585,620,637,1545,1198,629,303,48,M
43,4197,2488,618,616,631,623,1518,1143,583,301,34,M
44,4176,2588,635,656,649,648,1673,1293,753,407,81,M
45,4279,2576,668,654,650,604,1699,1386,890,610,161,M
46,4225,2460,639,614,613,594,1451,1046,452,142,6,M
47,4213,2516,632,619,628,637,1472,1091,573,251,49,M
48,4145,1773,432,464,435,442,773,462,112,27,2,S
49,4144,1651,403,405,432,411,723,454,96,8,0,S
50,4147,1741,425,444,443,429,777,495,98,18,0,S
51,4122,1676,425,444,434,373,704,437,82,8,0,S
52,4164,1701,454,399,437,411,743,435,82,8,0,S
53,4146,1695,434,425,410,426,780,476,125,26,1,S
54,4131,1704,427,435,435,407,724,444,90,12,0,S
55,4122,1670,423,398,404,445,745,457,98,11,0,S
56,4157,1718,444,443,404,427,744,465,109,17,0,S
57,4136,1691,443,382,409,457,751,441,112,25,0,S
59,4185,2406,608,589,594,615,1406,1040,475,159,9,M
